,songName,songID
97,Güneye Giderken,1CV8rOZEAkMswsfyOBIrW6
98,Haydi Gel İçelim,6b0iQwJFAjQz8bwJbUIUQb
99,Han Sarhoş Hancı Sarhoş,1cTBwOd2Yf0BKnRd5dNZv0
100,Sakın Gelme,0Wtrou4tplwRr2ZHN9SG96
101,Kafama Göre,3XOpY6WO7bMv87tf1DooG2
102,Kara Sevda,2q6HbCJLGPcWBuHe9lWu9W
103,Mavi Duvar,6eWd1lY63ilQ4j5Kti3E1T
104,İzmir Marşı,1OjOxH2CO02gdfxyXYuuaG
105,Eşşeği Saldım,2XUf95qlEQzCwqmhXrRXyw
106,Gidiyorum,0slS4j9cUgIvrLWxQStM96
107,Gel Gör Beni Aşk Neyledi,186ZT2FJQuSGGww3i6Xoto
108,Mazeretim Var Asabiyim Ben,5Ku52IUpK9kNRuzWBMYIaS
109,Karahisar,2VDDXzeL8f9DuX6QsZ4WXa
110,Yollarda Bulurum Seni,
111,Düşler Sokağı,3CmtGSvMqCU0Phn6sEmclB
112,Arkadaşım Eşşek,5KQ2Erk5YRy7QxgBkZmetv
113,Ele Güne Karşı,3Sy3MuMeVhCd2QwDwy0W6Q
114,Hanımey,6JZddrdQQcWw4XCtCrgmsi
115,Türk Marşı,6E9Y4e7yjRhksdZMOU8H4D
116,Bandıra Bandıra,4pxRvWXrkTJBymcV1wy8aK
117,Drama Köprüsü,4WxsfHvyMwbZYLvV1KG1fJ
118,Mazi Kalbimde Bir Yaradır,6tDanbCuilBzo5AVg7uXva
119,Olduramadım,7DaSVDUdmSkwHS37eVOfmf
120,Aldırma Gönül,0wdFEbZ7n4h3IfIvvuNhTP
121,Anlıyorsun Değil Mi,18QkbQZgychVvaKN4BVsGL
122,Bir İstanbul Masalı,5ZoM2Pv56xjJEfPdzNSL1w
123,Senden Başka,5c91hNOoKfapMH58q7Xn31
124,Aşkımın Bir Kalbi Varmış,1a7ddSY5vxpFASbqC9cNCS
125,Bir Fotoğraf Çekinebilir Miyiz?,34l4b9YoCZEiRT6aNzMxhv
126,Skalonga,6TIqxLdKVLvtUXf5joBdr2
127,Bak Bir Varmis Bir Yokmus,7lisbdt0svWd4urEsQCMlK
128,Ne Bileyim Ben,0JnzeLqGmsaa2W2DuclOyt
129,Gibi Gibi,5mICCLwALWMSR1Mfc6WBJe
130,Mamak Türküsü,61wfWYE6b8v38Wrt543o2Y
131,Dipteyim Sondayım Depresyondayım,3wmoMOvL9qg8UzoRS9MMRn
132,Ceylan,6bCnnsQcLf9dlKp6YPn4tG
133,Bir Garip Aşk Bestesi,708wpAVwEcFrGif1ITd6zZ
134,Ay İnanmıyorum,7zSjskxzmhkzg9TD25JmFJ
135,Talihim Yok Bahtım Kara,3eVkHWumLD8kJXVjcL05uE
136,Kağızman,0yvI86cWrXebjm9zSVcuQD
